timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
12544000,0.15730503,0.13874805,-0.0020547688,4000,0,-0.18272662,0.1711914,-11.183134,4000
12548000,0.17145897,0.1486132,-7.31305e-05,4000,0,-0.14161517,0.18776104,-11.222553,4000
12552000,0.18120408,0.16193047,6.229598e-05,4000,0,-0.21804784,0.20707199,-11.231915,4000
12556000,0.18501903,0.16250658,-0.0015892993,4000,0,-0.21309286,0.12243519,-11.2085705,4000
12560000,0.18472455,0.16515504,-0.007961675,4000,0,-0.11161663,0.1136048,-11.269137,4000
12564000,0.18832867,0.1695234,-0.0083658695,4000,0,-0.09286316,0.15954635,-11.372433,4000
12568000,0.18526833,0.16628143,0.00042307936,4000,0,-0.19628085,0.14259304,-11.38404,4000
12576000,0.18037467,0.17798112,-0.0018038712,4000,0,-0.1380587,0.1677138,-11.354089,4000
12580000,0.17404571,0.17586118,-6.1861792e-06,4000,0,-0.16058011,0.13330424,-11.381953,4000
12584000,0.17086391,0.17210525,0.0045873565,4000,0,-0.20604108,0.09766295,-11.371062,4000
12588000,0.16574651,0.16864358,-0.00035687574,4000,0,-0.2235437,0.12091106,-11.432713,4000
12592000,0.15770428,0.16098909,-0.002234506,4000,0,-0.23534034,0.12135405,-11.446987,4000
12596000,0.16299665,0.15272057,0.0031442938,4000,0,-0.16508435,0.07944452,-11.318695,4000
12600000,0.1578481,0.14402196,0.0046882946,4000,0,-0.13183045,0.18600182,-11.326367,4000
12604000,0.14806049,0.14251925,0.009880847,4000,0,-0.16945092,0.24207082,-11.403225,4000
12608000,0.1402518,0.13838987,0.004684294,4000,0,-0.19253385,0.20444253,-11.40981,4000
12612000,0.13095196,0.13616039,-0.0099424105,4000,0,-0.17208645,0.19455075,-11.35618,4000
12616000,0.12536323,0.14003143,-0.0056942315,4000,0,-0.18045977,0.17826402,-11.366441,4000
12624000,0.11242543,0.12392494,-0.003890035,4000,0,-0.14531432,0.1125275,-11.31396,4000
12628000,0.104429595,0.11561938,-0.004959978,4000,0,-0.20013513,0.13529864,-11.356977,4000
12636000,0.09404445,0.10060349,-0.0047787083,4000,0,-0.20454732,0.20968133,-11.395409,4000
12640000,0.090484686,0.093251854,0.0005024042,4000,0,-0.18391474,0.20457059,-11.332626,4000
12644000,0.086588085,0.09014639,-6.7137094e-05,4000,0,-0.16934155,0.13455953,-11.327189,4000
12648000,0.08112287,0.08745541,-0.00052096177,4000,0,-0.17649747,0.19639271,-11.265599,4000
12652000,0.07340757,0.0809628,-0.0014672033,4000,0,-0.1762876,0.20942354,-11.262161,4000
12656000,0.06213897,0.07035435,-0.0005772658,4000,0,-0.13150673,0.14233738,-11.259085,4000
12660000,0.05733083,0.060828954,0.008477044,4000,0,-0.12167881,0.18979861,-11.220019,4000
12664000,0.053237576,0.059275165,0.0065980614,4000,0,-0.12205906,0.20391217,-11.272142,4000
12668000,0.049023386,0.05759348,-0.003424329,4000,0,-0.12908174,0.15847409,-11.224788,4000
12672000,0.0478265,0.05103501,-0.0014717602,4000,0,-0.15931433,0.10239868,-11.196182,4000
12676000,0.036461223,0.04541298,0.008075374,4000,0,-0.11541169,0.094606906,-11.206577,4000
12680000,0.028087774,0.04515547,0.009694291,4000,0,-0.15207945,0.11936753,-11.247145,4000
12684000,0.033184968,0.040857863,0.005161723,4000,0,-0.24561942,0.13946311,-11.28313,4000
12688000,0.026350034,0.031880163,0.002455791,4000,0,-0.24220255,0.16986495,-11.292879,4000
12692000,0.019136624,0.025850905,0.00097287697,4000,0,-0.19331838,0.1627067,-11.24256,4000
12700000,0.014666739,0.019225175,-0.0028739013,4000,0,-0.18953507,0.16697024,-11.143008,4000
12708000,-0.0034011542,0.012790489,0.007196639,4000,0,-0.17787245,0.14794989,-11.164969,4000
12716000,-0.002713099,0.0128326155,0.006572827,4000,0,-0.14503126,0.080961786,-11.15799,4000
12720000,-0.0104266545,0.01024141,0.00428225,4000,0,-0.21645215,0.074318275,-11.195356,4000
12724000,-0.015365969,0.006607266,0.0056185853,4000,0,-0.21584646,0.16078341,-11.159528,4000
12728000,-0.020472404,-0.008689712,0.00016326671,4000,0,-0.23128514,0.16591315,-11.246428,4000
12732000,-0.022495735,-0.018139957,0.0010890249,4000,0,-0.20648874,0.16473351,-11.300809,4000
12736000,-0.02850067,-0.008921599,0.003565317,4000,0,-0.13927153,0.18515198,-11.262681,4000
12740000,-0.03514112,-0.010024132,-0.00019972192,4000,0,-0.20423181,0.0870305,-11.201062,4000
12744000,-0.036223162,-0.020820525,-0.0033696506,4000,0,-0.23581961,0.076114245,-11.185996,4000
12748000,-0.037317663,-0.024697054,-0.002151086,4000,0,-0.14712818,0.06395834,-11.266707,4000
12756000,-0.04448918,-0.031335592,0.0071863313,4000,0,-0.22721547,0.12252426,-11.166443,4000
12764000,-0.052457985,-0.037005324,-0.00058961153,4000,0,-0.15772721,0.250701,-11.105412,4000
12768000,-0.055257097,-0.039755877,0.0037941113,4000,0,-0.072052196,0.12975825,-11.145548,4000
12772000,-0.05138092,-0.050458606,0.0036267163,4000,0,-0.07344043,0.112655275,-11.243757,4000
12780000,-0.057105877,-0.048019636,-0.00047175417,4000,0,-0.116764754,0.0106411055,-11.255542,4000
12784000,-0.06102502,-0.039567385,0.002087744,4000,0,-0.18806869,-0.026982032,-11.2156925,4000
12788000,-0.05659659,-0.042105176,0.002338018,4000,0,-0.17259659,0.034877937,-11.2646675,4000
12792000,-0.05059605,-0.056085195,0.001311699,4000,0,-0.09374315,0.06391308,-11.209428,4000
12796000,-0.05636239,-0.0527285,-0.0009146144,4000,0,-0.10008739,0.12072561,-11.235227,4000
12800000,-0.060826045,-0.049612265,0.0037415961,4000,0,-0.16098176,0.15989985,-11.280225,4000
12808000,-0.05500405,-0.062211372,0.0050791907,4000,0,-0.12545098,0.078122355,-11.218833,4000
12812000,-0.05808003,-0.060576707,0.005187635,4000,0,-0.13174334,0.08151356,-11.198278,4000
12816000,-0.061517656,-0.064890295,0.006130387,4000,0,-0.1244365,0.12947556,-11.2593,4000
12820000,-0.06610561,-0.06617254,0.0085315695,4000,0,-0.08666942,0.08351494,-11.307,4000
12824000,-0.06824451,-0.06163009,0.0038835667,4000,0,-0.09112806,0.09130596,-11.336441,4000
12832000,-0.06610003,-0.06878527,0.0030929097,4000,0,-0.10444706,0.1081387,-11.233737,4000
12836000,-0.06619177,-0.074975036,0.0030375377,4000,0,-0.0595899,0.13399258,-11.202113,4000
12840000,-0.05699817,-0.066937506,0.0019820414,4000,0,-0.085873485,0.111730486,-11.207305,4000
12844000,-0.054400004,-0.057161886,0.0038387065,4000,0,-0.09420024,0.07363428,-11.261829,4000
12848000,-0.058010615,-0.06404751,0.006640178,4000,0,-0.09068414,0.08387193,-11.268716,4000
12852000,-0.055409607,-0.06689615,0.0055375095,4000,0,-0.15204257,0.14439027,-11.260569,4000
12856000,-0.055330742,-0.05871636,0.008263848,4000,0,-0.12177449,0.1107462,-11.267543,4000
12860000,-0.057514116,-0.058874384,0.0020641577,4000,0,-0.10030346,0.073798485,-11.297038,4000
12864000,-0.05327823,-0.063971676,0.0034541537,4000,0,-0.118925475,0.07040614,-11.30694,4000
12868000,-0.054594144,-0.056596383,0.010437977,4000,0,-0.10250066,0.057839546,-11.338323,4000
12872000,-0.05755069,-0.051288407,0.0051107327,4000,0,-0.12317256,0.06366719,-11.310728,4000
12880000,-0.049695924,-0.0618995,0.0012066269,4000,0,-0.15205655,0.031973522,-11.326084,4000
12884000,-0.049824975,-0.06758753,-0.00023447232,4000,0,-0.13760136,0.058785547,-11.238218,4000
12888000,-0.049053915,-0.06895273,0.0025223996,4000,0,-0.07293354,0.11703236,-11.247037,4000
12892000,-0.05042903,-0.059806354,-0.00049011497,4000,0,-0.07443873,0.13948523,-11.325997,4000
12896000,-0.046273753,-0.0531112,-0.0069543985,4000,0,-0.103398226,0.12362748,-11.297943,4000
12900000,-0.040583666,-0.052640956,-0.0033731656,4000,0,-0.14714795,0.07810692,-11.207684,4000
12904000,-0.04222944,-0.05538177,0.0075703748,4000,0,-0.14674127,0.08984727,-11.224042,4000
12908000,-0.04392229,-0.056439057,0.011375839,4000,0,-0.09431611,0.030637862,-11.265507,4000
12912000,-0.049541034,-0.055511545,0.0036308933,4000,0,-0.04125346,0.10018429,-11.272563,4000
12916000,-0.051707704,-0.056019753,0.00033687463,4000,0,-0.05083046,0.22751902,-11.289537,4000
12920000,-0.04727149,-0.049162056,0.006596263,4000,0,-0.13827215,0.15180857,-11.292869,4000
12928000,-0.045725916,-0.058826175,0.0053021866,4000,0,-0.12325111,0.013556006,-11.253642,4000
12932000,-0.049670883,-0.059035156,0.0007305902,4000,0,-0.10508908,0.02547251,-11.222566,4000
12936000,-0.05144404,-0.0543299,-0.0009432782,4000,0,-0.09815469,0.12782465,-11.243717,4000
12944000,-0.044962816,-0.054129925,0.0064977817,4000,0,-0.12619434,0.042930413,-11.317471,4000
12948000,-0.043856155,-0.048455346,0.005849765,4000,0,-0.104081824,0.074135125,-11.302373,4000
12952000,-0.044284087,-0.03758767,0.0032422454,4000,0,-0.08477252,0.112840846,-11.234676,4000
12960000,-0.046487257,-0.03453962,0.001452486,4000,0,-0.14304142,0.096653685,-11.256555,4000
12968000,-0.038435884,-0.03419796,-0.0029484895,4000,0,-0.0895633,0.09570733,-11.223367,4000
12972000,-0.040405393,-0.03381697,-0.0030330801,4000,0,-0.06569706,0.12807985,-11.223614,4000
12976000,-0.045471065,-0.035237085,0.0020349051,4000,0,-0.0890465,0.07354146,-11.239625,4000
12980000,-0.036288302,-0.035374075,0.002100807,4000,0,-0.10663829,0.056243498,-11.277657,4000
12984000,-0.03174098,-0.038477834,0.0028544394,4000,0,-0.13350223,0.06990346,-11.307543,4000
12988000,-0.037541304,-0.03554863,0.0075005977,4000,0,-0.13706821,0.0881586,-11.256974,4000
12992000,-0.040890977,-0.030256437,0.0013756162,4000,0,-0.10671059,0.1826343,-11.239389,4000
12996000,-0.04249059,-0.03393966,-0.00112839,4000,0,-0.09496137,0.15911153,-11.268185,4000
13000000,-0.039493814,-0.037329637,0.0043256264,4000,0,-0.10454121,0.10321216,-11.266696,4000
13008000,-0.036039364,-0.03356229,0.0044108243,4000,0,-0.119825065,0.16964754,-11.213683,4000
13012000,-0.034660123,-0.032965537,0.0019537525,4000,0,-0.11568284,0.11728829,-11.214391,4000
13016000,-0.041661624,-0.03310509,-0.0037493699,4000,0,-0.15742673,0.14289969,-11.31939,4000
13020000,-0.03835151,-0.032929767,-0.0038885896,4000,0,-0.19436954,0.18096717,-11.327044,4000
13024000,-0.026171032,-0.031114502,0.0025923338,4000,0,-0.14638811,0.1443846,-11.300102,4000
13028000,-0.026551174,-0.031689607,0.0015579809,4000,0,-0.0630867,0.07947661,-11.248475,4000
13032000,-0.027183717,-0.027869567,0.001810616,4000,0,-0.06656175,0.033346392,-11.226625,4000
13036000,-0.030898718,-0.025859106,0.0029980303,4000,0,-0.12267841,0.11775556,-11.272499,4000
13040000,-0.03129221,-0.026918722,0.0019375832,4000,0,-0.06791745,0.12624395,-11.258315,4000
13044000,-0.026653262,-0.026302367,0.004501109,4000,0,-0.059841506,0.091639236,-11.279361,4000
13052000,-0.02429731,-0.019624606,0.002116298,4000,0,-0.11213297,0.10232113,-11.35219,4000
13056000,-0.02883255,-0.02371026,0.0005806688,4000,0,-0.10521511,0.09290385,-11.298092,4000
13064000,-0.027276661,-0.02807706,-0.0032450855,4000,0,-0.14372237,0.11039419,-11.266915,4000
13068000,-0.029531961,-0.029120564,-0.0018198758,4000,0,-0.15206479,0.08366775,-11.259975,4000
13076000,-0.021901319,-0.02989574,0.0024666097,4000,0,-0.06712535,0.06726713,-11.247018,4000
13080000,-0.0220604,-0.029057978,0.0062795775,4000,0,-0.03145087,0.06964018,-11.239856,4000
13084000,-0.028182963,-0.027820162,0.004050893,4000,0,-0.08382916,0.06452835,-11.218177,4000
13092000,-0.026343673,-0.021347253,-0.00872825,4000,0,-0.095679715,0.04662044,-11.236528,4000
13096000,-0.024243454,-0.018202977,-0.0050361813,4000,0,-0.11470026,0.0244706,-11.233078,4000
13100000,-0.023571076,-0.017324034,-0.0014885662,4000,0,-0.12782076,0.0716523,-11.243837,4000
13104000,-0.023393536,-0.023442708,0.0011156331,4000,0,-0.082642734,0.074767075,-11.261525,4000
13108000,-0.021965884,-0.023147143,0.0005514616,4000,0,-0.05944642,0.0880035,-11.249968,4000
13112000,-0.021123275,-0.016690478,-0.0036368386,4000,0,-0.093889065,0.083217375,-11.27875,4000
13116000,-0.025243938,-0.016261177,0.00061064214,4000,0,-0.18755285,0.045350872,-11.261618,4000
13120000,-0.027428674,-0.015219767,-0.0008380745,4000,0,-0.14537601,0.062862724,-11.266328,4000
13124000,-0.022031393,-0.015213696,-0.0087328525,4000,0,-0.04437044,0.10505418,-11.302316,4000
13128000,-0.01882835,-0.018674318,-0.009330778,4000,0,-0.073934525,0.09240576,-11.289867,4000
13136000,-0.026143692,-0.016275054,0.0041659656,4000,0,-0.13927242,0.09473771,-11.340055,4000
13140000,-0.02149056,-0.015269293,0.0045831306,4000,0,-0.13052613,0.06553426,-11.358917,4000
13144000,-0.014071058,-0.014826086,0.0028103027,4000,0,-0.13429624,0.07092063,-11.347002,4000
13148000,-0.011351328,-0.019112337,0.00053826853,4000,0,-0.111289464,0.12411195,-11.257908,4000
13156000,-0.008237673,-0.015102554,0.0022011097,4000,0,-0.06997919,0.032501142,-11.315751,4000
13164000,-0.00615867,-0.012580058,0.0032082289,4000,0,-0.13667054,0.12712076,-11.264884,4000
13168000,-0.0030729044,-0.01572506,0.0009879952,4000,0,-0.09183715,0.03317259,-11.24351,4000
13176000,-0.0056924354,-0.003339342,0.010929354,4000,0,-0.026481424,0.093657754,-11.307631,4000
13180000,-0.0039378447,-0.0019972795,0.014158303,4000,0,0.042285837,0.054016188,-11.3314705,4000
13188000,-0.008129468,-0.006440083,-0.004945609,4000,0,-0.1665892,0.14865506,-11.256867,4000
13192000,-0.0035716414,-0.009117038,-0.008766193,4000,0,-0.11777676,0.14535652,-11.265557,4000
13196000,0.00290575,-0.011676924,0.000740895,4000,0,-0.005685292,0.15589584,-11.234057,4000
13200000,0.0028610497,-0.01106032,0.0031341566,4000,0,0.0146685215,0.18754219,-11.110012,4000
13208000,0.0007916866,-0.015140833,0.0012148602,4000,0,-0.16977641,0.119361386,-10.778512,4000
13216000,-0.0048997896,-0.020442003,-0.0011550016,4000,0,-0.10796929,0.08962436,-10.731655,4000
13220000,-0.010954612,-0.017096031,-0.009421881,4000,0,-0.097972855,0.08744463,-10.66247,4000
13224000,-0.0075430223,-0.0212858,-0.005900761,4000,0,-0.14899269,0.075340554,-10.470626,4000
13232000,-0.0053942096,-0.017973084,0.0015712212,4000,0,-0.12218149,0.077064976,-10.275095,4000
